Teks Ulasan,Topik,Label
Ada mushola kecil yang bersihjadi nggak bingung mau sholat.,Fasilitas Pendukung,Positif
Pilihan tempat duduknya beragamada yang buat sendiri atau rame-rame.,Fasilitas Pendukung,Positif
Kebersihan area ngopi terjaga dengan baik.,Fasilitas Pendukung,Positif
Fasilitasnya lengkapdari toilet bersih sampai internet stabil.,Fasilitas Pendukung,Positif
Area indoor juga nyamanAC-nya dingin pas.,Fasilitas Pendukung,Positif
Musik yang diputar pasnggak terlalu kencang jadi tetap bisa ngobrol.,Fasilitas Pendukung,Positif
Penerangannya cukupbaik siang maupun malam.,Fasilitas Pendukung,Positif
Secara keseluruhan fasilitasnya sangat mendukung kenyamanan.,Fasilitas Pendukung,Positif
Tempat sampahnya tersedia di banyak tempatjadi gampang buang sampah.,Fasilitas Pendukung,Positif
Desain interiornya juga menunjungenak dilihat.,Fasilitas Pendukung,Positif
Area parkir motor dan mobil terpisah dan rapi.,Fasilitas Pendukung,Positif
Sirkulasi udaranya bagusnggak pengap meskipun ada area indoor.,Fasilitas Pendukung,Positif
Meja dan kursinya ergonomisnyaman buat duduk lama.,Fasilitas Pendukung,Positif
Fasilitas cuci tangan juga tersedia dengan baik.,Fasilitas Pendukung,Positif
Menurutku fasilitasnya sudah sangat memadai untuk sebuah coffeeshop.,Fasilitas Pendukung,Positif
Ada beberapa spot foto yang menarik juga.,Fasilitas Pendukung,Positif
Kebersihan toilet selalu terjagaini penting banget.,Fasilitas Pendukung,Positif
Jaringan internetnya bisa diandalkan untuk kerja.,Fasilitas Pendukung,Positif
Tempat duduk di area outdoor sangat nyaman dengan adanya pepohonan.,Fasilitas Pendukung,Positif
Fasilitasnya mendukung untuk berbagai kegiatandari santai hingga produktif.,Fasilitas Pendukung,Positif
WiFi-nya lemot bangetputus-putus terusnggak bisa buat kerja.,Fasilitas Pendukung,Negatif
Area outdoor sempit dan panas kalau siangpayungnya kurang.,Fasilitas Pendukung,Negatif
Toiletnya kotor dan baunggak ada sabun cuci tangan.,Fasilitas Pendukung,Negatif
Parkiran terbatassusah banget cari parkir apalagi pas weekend.,Fasilitas Pendukung,Negatif
Stop kontak sedikit dan posisinya anehrebutan sama yang lain.,Fasilitas Pendukung,Negatif
Musholanya kecil dan pengapmukenanya juga kotor.,Fasilitas Pendukung,Negatif
Pilihan tempat duduknya sedikitapalagi yang nyaman buat sendiri.,Fasilitas Pendukung,Negatif
Banyak sampah berserakan di bawah mejakurang bersih.,Fasilitas Pendukung,Negatif
AC di indoor sering matijadi gerah banget.,Fasilitas Pendukung,Negatif
Musik terlalu kencang dan genrenya nggak cocok buat suasana ngopi.,Fasilitas Pendukung,Negatif
Penerangan di beberapa spot terlalu gelapsusah buat baca.,Fasilitas Pendukung,Negatif
Tempat sampah penuh dan nggak segera diangkat.,Fasilitas Pendukung,Negatif
Beberapa kursi dan meja sudah goyang-goyangmau rusak.,Fasilitas Pendukung,Negatif
Sirkulasi udara di indoor kurang bagusbau makanan kecampur.,Fasilitas Pendukung,Negatif
Area parkir becek dan tidak teratur.,Fasilitas Pendukung,Negatif
Harganya sebanding sama rasa kopi dan suasana yang didapat.,Harga dan Nilai,Positif
Worth it! Dengan ambience sebagus ini dan kopi seenak ituharganya pas.,Harga dan Nilai,Positif
Mungkin sedikit priceytapi kualitasnya nggak bohong.,Harga dan Nilai,Positif
Untuk ukuran kopi spesialti dan tempat senyaman iniharganya standar.,Harga dan Nilai,Positif
Ada harga ada rupapuas sama yang didapatkan di sini.,Harga dan Nilai,Positif
Menurutku harganya masih terjangkau untuk pengalaman yang ditawarkan.,Harga dan Nilai,Positif
Nilai plusnya di suasana yang nggak bisa dibelijadi harga oke lah.,Harga dan Nilai,Positif
Dibanding coffeeshop sejenisharganya kompetitif.,Harga dan Nilai,Positif
Porsi minuman dan makanannya sesuai dengan harga.,Harga dan Nilai,Positif
Nggak nyesel bayar segitu buat nongkrong di sini.,Harga dan Nilai,Positif
Kadang ada promo menarik jugajadi lebih hemat.,Harga dan Nilai,Positif
Value for money-nya dapet bangetantara kualitassuasanadan harga.,Harga dan Nilai,Positif
Untuk kualitas kopi premiumharganya masih masuk akal.,Harga dan Nilai,Positif
Harga minumannya setara dengan kafe-kafe di pusat kotatapi suasananya lebih unggul.,Harga dan Nilai,Positif
Kalau cari yang murah banget mungkin bukan di sinitapi kualitasnya terjamin.,Harga dan Nilai,Positif
Merasa mendapatkan lebih dari yang saya bayar karena kenyamanannya.,Harga dan Nilai,Positif
Harga makanan pendampingnya juga cukup reasonable.,Harga dan Nilai,Positif
Secara keseluruhanharga dan kualitasnya seimbang.,Harga dan Nilai,Positif
Cocok buat memanjakan diri tanpa bikin kantong bolong.,Harga dan Nilai,Positif
Saya rela bayar lebih untuk suasana asri dan kopi yang khas ini.,Harga dan Nilai,Positif
Investasi yang baik untuk ketenangan dan secangkir kopi nikmat.,Harga dan Nilai,Positif
Tidak merasa dirugikan dengan harga yang ditetapkan.,Harga dan Nilai,Positif
Kualitas yang ditawarkan melebihi ekspektasi harga.,Harga dan Nilai,Positif
Harga yang pantas untuk sebuah pengalaman ngopi yang unik.,Harga dan Nilai,Positif
Sangat merekomendasikan dari segi nilai keseluruhan.,Harga dan Nilai,Positif
Harganya terlalu mahal untuk kualitas kopi yang biasa aja.,Harga dan Nilai,Negatif
Overpriced! Suasananya memang lumayantapi kopinya nggak sepadan.,Harga dan Nilai,Negatif
Dengan harga segituekspektasi saya lebih tinggi untuk rasa dan pelayanan.,Harga dan Nilai,Negatif
Porsinya kecil bangetnggak sesuai sama harganya.,Harga dan Nilai,Negatif
Banyak coffeeshop lain yang lebih murah dengan kualitas serupa atau lebih baik.,Harga dan Nilai,Negatif
Merasa kemahalanapalagi ditambah tax & service yang lumayan.,Harga dan Nilai,Negatif
Value for money-nya kurang dapetcuma menang tempat aja.,Harga dan Nilai,Negatif
Harga makanan pendampingnya juga mahal-mahalpilihan terbatas.,Harga dan Nilai,Negatif
Nggak worth it kalau cuma mau ngopi bentarharganya bikin mikir.,Harga dan Nilai,Negatif
Ada biaya tambahan yang nggak diinfo di awaljadi kaget pas bayar.,Harga dan Nilai,Negatif
Kualitasnya menurun tapi harganya tetap mahal.,Harga dan Nilai,Negatif
Dibanding kompetitorharganya kurang bersaing untuk apa yang ditawarkan.,Harga dan Nilai,Negatif
Terlalu fokus ke suasanatapi harga produknya jadi nggak masuk akal.,Harga dan Nilai,Negatif
Nggak akan balik lagi karena harganya yang nggak ramah di kantong.,Harga dan Nilai,Negatif
Untuk mahasiswaharganya jelas memberatkan.,Harga dan Nilai,Negatif
